Distribuidor,Zona,Folio,Nombre
BAL,CAM,CSCAM4001,Suc. San Miguel
BAL,CAM,CSCAM4002,Centro de Servicio LTH suc. Santa Ana
BAL,CAM,CSCAM4003,Centro de Servicio LTH suc. San Salvador
AUTOPARTES JIMENEZ,Norte,CS8006,Centro de Servicio LTH suc. Tecomán
AUTOPARTES JIMENEZ,Norte,CS8005,Centro de Servicio LTH suc. Pablo Silva
AUTOPARTES JIMENEZ,Norte,CS8008,Centro de Servicio LTH suc. Manzanillo
ROCA,Sur,CS1001,Centro de Servicio LTH suc. Independencia
ROCA,Sur,CS1002,Centro de Servicio LTH suc. Talia
ROCA,Sur,CS1007,Centro de Servicio LTH suc. Casa Blanca
ROCA,Sur,CS1005,Centro de Servicio LTH suc. Jesús María
CADENA,Sur,CS2607,Centro de Servicio LTH suc. Mariano Jiménez
CADENA,Sur,CS2608,Centro de Servicio LTH suc. Lomas
CADENA,Sur,CS2610,Centro de Servicio LTH suc. Carretera 57
BAT. DE MEXICO,Norte,CS2008,Centro de Servicio LTH suc. Tecate Universidad
BAT. DE MEXICO,Norte,CS2012,Centro de Servicio LTH suc. Buenos Aires
BAT. DE MEXICO,Norte,CS2013,Centro de Servicio LTH suc. Otay
BAT. DE MEXICO,Norte,CS2014,Centro de Servicio LTH suc. Centro
BATERIAS ATLAS,Norte,CS2001,Centro de Servicio LTH suc. Buenaventura
BATERIAS ATLAS,Norte,CS2009,Centro de Servicio LTH suc. Ferrocarril
BATERIAS ATLAS,Norte,CS2010,Centro de Servicio LTH suc. La Mesa
BATERIAS ATLAS,Norte,CS2011,Centro de Servicio LTH suc. Plaza Otay
BATERIAS ATLAS,Norte,CS2016,Centro de Servicio LTH suc. San Luis Río Colorado
BATERIAS ATLAS MEXICALI,Norte,CS2003,Centro de Servicio LTH suc. Benito Juarez
BATERIAS ATLAS MEXICALI,Norte,CS2018,Centro de Servicio LTH suc. Lázaro Cárdenas
BATERIAS ATLAS MEXICALI,Norte,CS2020,Centro de Servicio LTH suc. Villafontana
EMTEC,Sur,CS3404,Centro de Servicio LTH suc. C60 Plan de Ayala
MASTER ACUMULADORES,Sur,CS2501,Centro de Servicio LTH suc. Palenque
MASTER ACUMULADORES,Sur,CS2502,Centro de Servicio LTH suc. Nichupte
MASTER ACUMULADORES,Sur,CS2503,Centro de Servicio LTH suc. Kabah
MASTER ACUMULADORES,Sur,CS2504,Centro de Servicio LTH suc. Sahop
MASTER ACUMULADORES,Sur,CS2505,Centro de Servicio LTH suc. Playa del Carmen
MASTER ACUMULADORES,Sur,CS2507,Centro de Servicio LTH suc. Playa II
MASTER ACUMULADORES,Sur,CS2509,Centro de Servicio LTH suc. Tulum
ARPSA,Sur,CS3402,Centro de Servicio LTH suc. C69 Centro
ARPSA,Sur,CS3403,Centro de Servicio LTH suc. Dolores Otero
MONCADA,Sur,CS1803,Centro de Servicio LTH suc. Amatitlán
MONCADA,Sur,CS1804,Centro de Servicio LTH suc. Teopanzolco
8A,Norte,CS1504,Centro de Servicio LTH suc. Lopez Mateos 797
8A,Norte,CS1528,Centro de Servicio LTH suc. Tonalá
8A,Norte,CS1511,Centro de Servicio LTH suc. Versalles
8A,Norte,CS1903,Centro de Servicio LTH suc. Bahía de Banderas
GUADALUPE MAGANA,Norte,CS1704,Centro de Servicio LTH suc. Paseo de la República
GUADALUPE MAGANA,Norte,CS1705,Centro de Servicio LTH suc. Altozano
GUADALUPE MAGANA,Norte,CS1716,Centro de Servicio LTH suc. Jurista
GUADALUPE MAGANA,Norte,CS1715,Centro de Servicio LTH suc. Moroleón
MUNDO ALVAREZ,Norte,CS1717,Centro de Servicio LTH suc. Sahuayo
MUNDO ALVAREZ,Norte,CS1708,Centro de Servicio LTH suc. Las Fuentes
MUNDO ALVAREZ,Norte,CS1713,Centro de Servicio LTH suc. Zamora
EDISON,Norte,CS1703,Centro de Servicio LTH suc. Monumental
EDISON,Norte,CS1710,Centro de Servicio LTH suc. Periférico
PURABATERIA,Norte,CS8001,Centro de Servicio LTH suc. Oriental
PURABATERIA,Norte,CS8002,Centro de Servicio LTH suc. Tecnológico
PURABATERIA,Norte,CS8007,Centro de Servicio LTH suc. Madero
PURABATERIA,Norte,CS8003,Centro de Servicio LTH suc. Arboledas
YEPEZ,Norte,CS1507,Centro de Servicio LTH suc. Río Nilo
YEPEZ,Norte,CS1508,Centro de Servicio LTH suc. Revolución Oro
YEPEZ,Norte,CS1524,Centro de Servicio LTH suc. Belisario Domínguez
YEPEZ,Norte,CS1531,Centro de Servicio LTH suc. Cruz del Sur
YEPEZ,Norte,CS1532,Centro de Servicio LTH suc. Ejército
YEPEZ,Norte,CS1534,Centro de Servicio LTH suc. Toluquilla
YEPEZ,Norte,CS1518,Centro de Servicio LTH suc. Los Charros
YEPEZ,Norte,CS1535,Centro de Servicio LTH suc. Américas
PLASCENCIA,Norte,CS1526,Centro de Servicio LTH suc. Chapala
PLASCENCIA,Norte,CS1514,Centro de Servicio LTH suc. Auditorio
PLASCENCIA,Norte,CS1519,Centro de Servicio LTH suc. Hidalgo
PLASCENCIA,Norte,CS1522,Centro de Servicio LTH suc. Angel Leaño
JADA,Norte,CS1709,Centro de Servicio LTH suc. Pátzcuaro
JADA,Norte,CS1706,Centro de Servicio LTH suc. Juárez
JADA,Norte,CS1707,Centro de Servicio LTH suc. Zapata
JADA,Norte,CS1711,Centro de Servicio LTH suc. Bodega Jada
ADS,Norte,CS1525,Centro de Servicio LTH suc. Autlán
ADS,Norte,CS1503,Centro de Servicio LTH suc. Cd. Guzmán
ERICA MONTANO,Norte,CS1701,Centro de Servicio LTH suc. F.I.Madero
ERICA MONTANO,Norte,CS1712,Centro de Servicio LTH suc. Bonifacio Moreno
CARRO MOTRIZ,Norte,CS1216,Centro de Servicio LTH suc. Padre Hidalgo
RAFAEL HERNANDEZ,Norte,CS1501,Centro de Servicio LTH suc. Arandas
RAFAEL HERNANDEZ,Norte,CS1530,Centro de Servicio LTH suc. Ocotlán
RAFAEL HERNANDEZ,Norte,CS1533,Centro de Servicio LTH suc. San Juan
RAFAEL HERNANDEZ,Norte,CS1512,Centro de Servicio LTH suc. Tepa
RAFAEL HERNANDEZ,Norte,CS1536,Centro de Servicio LTH suc. Atotonilco
AFYPESA,Sur,CS5001,Centro de Servicio LTH suc. Belisario Domínguez
AFYPESA,Sur,CS5002,Centro de Servicio LTH suc. San Cristobal
AFYPESA,Sur,CS5003,Centro de Servicio LTH suc. 8a Ave.
AFYPESA,Sur,CS5007,Centro de Servicio LTH suc. San Sebastián
AFYPESA,Sur,CS5004,Centro de Servicio LTH suc. Libramiento Sur
AFYPESA,Sur,CS5006,Centro de Servicio LTH suc. Calle 14
LUCASA,Sur,CS2901,Centro de Servicio LTH suc. Circuito
LUCASA,Sur,CS2907,Centro de Servicio LTH suc. Comalcalco
LUCASA,Sur,CS2902,Centro de Servicio LTH suc. Ernesto Malda
LUCASA,Sur,CS2905,Centro de Servicio LTH suc. Altabrisa
LUCASA,Sur,CS2906,Centro de Servicio LTH suc. Guayabal
LUCASA,Sur,CS2908,Centro de Servicio LTH suc. Universidad
LUCASA,Sur,CS3302,Centro de Servicio LTH suc. Bellavista
LUCASA,Sur,CS3326,Centro de Servicio LTH suc. Coatzacoalcos
LUBNICA,CAM,CSCAM5001,Centro de Servicio LTH suc. Lth Bolonia
LUBNICA,CAM,CSCAM5002,Centro de Servicio LTH suc. Lth Rubenia
LUBNICA,CAM,CSCAM5003,Centro de Servicio LTH suc. Lth  Carretera Sur
LUBNICA,CAM,CSCAM5004,Centro de Servicio LTH suc. Lth 27 De Mayo
LUBNICA,CAM,CSCAM5005,Centro de Servicio LTH suc. Lth Carretera Norte
JYBSA,Norte,CS2106,Centro de Servicio LTH suc. Linares
JYBSA,Norte,CS2107,Centro de Servicio LTH suc. Montemorelos
JYBSA,Norte,CS2108,Centro de Servicio LTH suc. Lázaro Cárdenas
JYBSA,Norte,CS2135,Centro de Servicio LTH suc. Humberto Lobo
CAR MASTER,Norte,CS2601,Centro de Servicio LTH suc. Carr. Nacional
CAR MASTER,Norte,CS2603,Centro de Servicio LTH suc. Santa Martha
CAR MASTER,Norte,CS2604,Centro de Servicio LTH suc. Río Verde
CAR MASTER,Norte,CS3101,Centro de Servicio LTH suc. L Echeverria
CAR MASTER,Norte,CS3104,Centro de Servicio LTH suc. Carr. Torres
CAR MASTER,Norte,CS3105,Centro de Servicio LTH suc. Carr. Torres 10
CAR MASTER,Norte,CS3117,Centro de Servicio LTH suc. Estadio
CAR MASTER,Norte,CS3306,Centro de Servicio LTH suc. Panuco
CAR MASTER,Norte,CS3310,Centro de Servicio LTH suc. Tantoyuca
CARDENAS ACUMULADORE,Norte,CS7009,Centro de Servicio LTH suc. Ramos
CARDENAS ACUMULADORE,Norte,CS7004,Centro de Servicio LTH suc. Provivienda
CARDENAS ACUMULADORE,Norte,CS7011,Centro de Servicio LTH suc. Matamoros
HIGH BATTERY,Norte,CS2114,Centro de Servicio LTH suc. Oriente  
HIGH BATTERY,Norte,CS2115,Centro de Servicio LTH suc. Puerta del Sol
HIGH BATTERY,Norte,CS2128,Centro de Servicio LTH suc. Astros
A.R.,Norte,CS2101,Centro de Servicio LTH suc. Zaragoza
A.R.,Norte,CS2126,Centro de Servicio LTH suc. Tauro
A.R.,Norte,CS2129,Centro de Servicio LTH suc. Estadio
A.R.,Norte,CS2110,Centro de Servicio LTH suc. Vista Hermosa
A.R.,Norte,CS2118,Centro de Servicio LTH suc. Venustiano
A.R.,Norte,CS2117,Centro de Servicio LTH suc. Santo Domingo
A.R.,Norte,CS2127,Centro de Servicio LTH suc. Diego Díaz
ENERGY,Norte,CS2130,Centro de Servicio LTH suc. Cadereyta
ENERGY,Norte,CS2121,Centro de Servicio LTH suc. Ruiz Cortines Poniente
ENERGY,Norte,CS2119,Centro de Servicio LTH suc. San Nicolás Centro
ENERGY,Norte,CS2122,Centro de Servicio LTH suc. Sendero
ENERGY,Norte,CS2133,Centro de Servicio LTH suc. Santa Catarina
