"8A","92.03","96.525","75","100","87.98"
"ACUM. Y LLANTAS GALL","59.42","81.02","54.165","89","63.115"
"ACUVER","78.46","72.17","80","100","25.14"
"ADS","81.16","85.765","95.835","79.41","74.315"
"AMARANTA FIGUEROA","55.38","91.07","100","100","61.75"
"ARPSA","57.0033333333333","67.5366666666667","70","97.1","44.08"
"BALUPAC","87.685","88.95","93.335","100","76.775"
"BAM","94.925","81.75","95.835","100","76.505"
"BATERIAS ATLAS","72.825","74.17","75","75","70.9"
"BATERIAS ATLAS MEXICALI","95.38","100","100","100","91.8"
"BATERIAS MEXICANAS","97.825","75.82","87.5","97.06","69.395"
"BATTERY BOSS","100","97.3766666666667","97.7766666666667","100","93.0766666666667"
"BATTERY BOSS MEXICO","36.92","62.18","55","100","45.36"
"BATTERY CENTER ROAL","82.61","93.43","100","90.2","75.96"
"BATTERY PLUS","100","83.21","100","94.12","90.71"
"BATTERY PLUS LOS MOCHIS","100","100","100","100","97.81"
"BDH","75.36","83.94","95","80.39","49.73"
"C.A. QUERETARO","66.67","77.895","77.5","78.435","80.325"
"CADENA","46.375","43.795","93.335","51.96","25.685"
"CAMSA","86.155","88.52","97.5","88.235","72.13"
"CAPASA","65.22","62.23","91.67","100","40.98"
"CARDENAS ACUMULADORE","57.97","62.04","46.67","91.89","61.2"
"CARRO MOTRIZ","88.41","96.52","100","100","69.95"
"CIFUENTES","100","100","100","100","87.43"
"CIMACO","97.825","83.265","88.335","93.18","74.59"
"COMACSA","60.87","72.73","85","95.1","40.71"
"DAJASA","11.86","16.13","70.45","100","37.43"
"DC ROAL AGUASCALIENTES","82.61","93.43","100","90.2","75.96"
"DIFATSA","100","100","100","100","89.62"
"EDISON","80.435","90.625","78.335","95.65","69.675"
"EDUARDO REGALADO","74.635","78.4","92.5","91.665","44.81"
"EMTEC","58.46","64.23","88.33","100","33.33"
"ENERGY","100","96.44","100","93.135","73.495"
"ENERGY PARTS CAMPECHE","91.3","73.78","86.67","100","57.92"
"ENERGY PARTS CANCUN","91.3","68.09","86.67","100","51.37"
"ENERGY PARTS CULIACAN","91.3","83.82","86.67","100","57.92"
"ENERGY PARTS DURANGO","85.505","70.265","85.835","85.295","58.47"
"ENERGY PARTS MAZATLAN","91.3","77.03","86.67","100","57.92"
"ENERGY PARTS MERIDA","90.265","74.06","80.835","92.645","68.03"
"ENERGY PARTS MOCHIS","100","70.53","86.67","100","51.37"
"ENERGY PARTS MONTERREY","91.3","76.22","86.67","100","59.56"
"ENERGY PARTS TAPACHULA","78.985","77.495","86.67","93.245","67.76"
"ENERGY PARTS TUXTLA","89.855","64.445","83.335","90.74","63.935"
"ENERMAX CELAYA","100","97.9","96.665","100","91.8"
"ERSA","84.06","89.78","100","100","98.36"
"ERVILLA","84.7","62.75","100","85.62","52.8233333333333"
"GISELLA BADILLO","72.9466666666667","81.85","88.3333333333333","85.77","62.4766666666667"
"GRUPO ENERMAX","95.65","97.9","100","100","91.8"
"HESA","68.84","65.625","85.835","90.2","46.175"
"HIGH BATTERY","91.305","86.59","85.835","83.335","81.15"
"IZAGUIRRRE","66.67","36.84","75","80.39","35.52"
"JADA","67.39","77.4","96.665","95.1","46.175"
"JORGE GUTIERREZ","100","100","100","100","100"
"JUAN DE JESUS","60","70.8","75","61.76","53.55"
"JYBSA","84.78","88.045","90","91.175","85.245"
"LLANTERAMA","87.505","98.495","95.835","97.06","85.52"
"LLANTERAMA POZA RICA","84.615","93.97","95.835","100","89.895"
"LUCASA","90.58","81.02","95.835","100","77.87"
"LUPESA","49.23","55.47","63.33","60.78","18.03"
"MASTER ACUMULADORES","97.1","83.105","86.665","100","75.135"
"MONTOYA GALAVIZ","68.12","70.8","83.33","67.57","44.81"
"MUNDO ALVAREZ","92.025","82.52","75.835","89.665","86.335"
"NASMAR","100","100","100","100","79.23"
"PAPSA","76.085","77.89","72.5","80.515","34.7"
"PLASCENCIA","100","79.29","90.835","80.395","86.885"
"PURABATERIA","79.71","86.86","100","90.2","50.82"
"RAFAEL HERNANDEZ","100","100","100","100","71.58"
"REPUESTOS DE ZACATECAS","66.67","83.94","71.67","90.2","48.09"
"REPUESTOS DEL NOROESTE","97.825","89.055","95.835","100","49.455"
"RIMSA","100","97.79","100","100","72.13"
"ROBERTO MORALES","73.525","69.78","68.335","100","27.6"
"ROCA","86.23","76.185","76.665","70.59","54.92"
"VICENTA","46.38","69.98","71.665","93.135","58.195"
"YEPEZ","90.3366666666667","90.38","97.2233333333333","100","91.44"
"ZARAGOZA","96.925","90.525","96.665","85.295","72.13"
"ZEPEDA","53.625","85.075","76.67","100","52.73"
